transaction_time,user_id,transaction_amt,narration,transaction_type,txn_id,month,month2
2/13/2020,5,8827,IMPS,CREDIT,999F6BE4,2,2
2/4/2020,8,7148,IMPS,DEBIT,21EA3DCC,2,2
5/16/2020,9,259,IMPS,CREDIT,05CFCB23,5,5
5/1/2020,8,7164,IMPS,CREDIT,6BF77347,5,5
5/26/2020,2,3364,IMPS,CREDIT,8FDFB55E,5,5
4/6/2020,3,4431,IFT,CREDIT,160024C9,4,4
5/4/2020,2,6728,IMPS,CREDIT,D68A9F1E,5,5
4/25/2020,2,9113,IFT,CREDIT,805748D5,4,4
4/4/2020,7,9441,IFT,CREDIT,3094BFF5,4,4
7/15/2020,6,2398,IFT,CREDIT,375E3A69,7,7
4/13/2020,2,1240,IFT,CREDIT,773B0FC4,4,4
5/13/2020,8,3861,IFT,DEBIT,10E3FA31,5,5
6/25/2020,3,1526,IFT,CREDIT,3C3A4A02,6,6
1/5/2020,1,846,IFT,CREDIT,288AD8AD,1,1
1/28/2020,10,2942,IFT,CREDIT,51B2D284,1,1
6/10/2020,8,8410,IFT,CREDIT,68C711A9,6,6
1/6/2020,7,7646,IMPS,DEBIT,0E29A716,1,1
3/25/2020,10,5574,IMPS,DEBIT,362D1C75,3,3
6/25/2020,2,271,IMPS,CREDIT,5844BEF2,6,6
4/17/2020,7,9434,IMPS,DEBIT,B0EEB2E7,4,4
2/9/2020,9,7171,IFT,DEBIT,36E37C94,2,2
5/6/2020,4,4526,IMPS,DEBIT,B0D1D7E2,5,5
5/19/2020,9,6999,IMPS,DEBIT,391A15A1,5,5
5/5/2020,4,3374,IFT,DEBIT,82DD58F3,5,5
6/30/2020,5,4285,IMPS,DEBIT,80A114DF,6,6
3/29/2020,1,7761,IMPS,DEBIT,A9AA98E3,3,3
4/10/2020,7,5503,IMPS,CREDIT,EEB85A79,4,4
7/31/2020,4,9220,IFT,DEBIT,9A04A098,7,7
5/31/2020,9,869,IFT,CREDIT,E98F3EB4,5,5
3/21/2020,2,6521,IMPS,DEBIT,1178BBFF,3,3
3/28/2020,9,824,IFT,CREDIT,4D39BB7E,3,3
5/16/2020,4,5782,IFT,DEBIT,23FD274D,5,5
1/11/2020,7,3741,IFT,DEBIT,6954BE10,1,1
6/25/2020,9,7519,IMPS,CREDIT,2D1691FA,6,6
7/1/2020,8,1091,IMPS,DEBIT,D9FA0A6A,7,7
7/29/2020,1,5412,IMPS,DEBIT,282D7677,7,7
5/23/2020,3,6278,NEFT,CREDIT,A9C64CE5,5,5
6/1/2020,2,5620,IFT,CREDIT,8F5092CC,6,6
7/6/2020,6,8049,IFT,DEBIT,71BA4545,7,7
6/19/2020,6,8890,IMPS,CREDIT,3FB1FED3,6,6
7/25/2020,4,4201,IMPS,DEBIT,34EA2A9A,7,7
7/1/2020,3,161,IFT,CREDIT,4C00A4FF,7,7
7/5/2020,2,5935,IFT,CREDIT,FF7CADF8,7,7
5/20/2020,4,5312,IMPS,CREDIT,5E98277E,5,5
5/13/2020,4,5049,IMPS,CREDIT,FCAD3DEA,5,5
3/4/2020,9,6455,IMPS,CREDIT,E49D6E83,3,3
6/11/2020,5,2751,IMPS,CREDIT,CC9B733E,6,6
5/18/2020,1,1350,IMPS,CREDIT,BFBE68BC,5,5
1/25/2020,3,7309,IFT,CREDIT,8AEBC421,1,1
2/24/2020,3,9140,IFT,DEBIT,82AFBCB4,2,2
3/25/2020,10,8869,IFT,DEBIT,C0DBE94A,3,3
3/1/2020,4,8778,IFT,DEBIT,1CEB77E7,3,3
3/19/2020,1,8672,IFT,DEBIT,9AAF9285,3,3
6/1/2020,3,7453,IFT,DEBIT,70DFF598,6,6
7/27/2020,4,8250,NEFT,DEBIT,3F805285,7,7
4/16/2020,2,7559,NEFT,DEBIT,3CEE867E,4,4
2/11/2020,9,6097,IMPS,DEBIT,55C5E65A,2,2
1/3/2020,8,1171,IMPS,CREDIT,678D9F1C,1,1
2/11/2020,4,2188,NEFT,CREDIT,2C9A37C5,2,2
2/18/2020,3,5426,NEFT,CREDIT,89DA8B94,2,2
1/19/2020,1,9754,NEFT,CREDIT,F40EC5E6,1,1
2/15/2020,6,9603,NEFT,CREDIT,2E22F1F9,2,2
4/4/2020,8,5114,NEFT,CREDIT,0C1F5061,4,4
7/16/2020,4,7834,IMPS,CREDIT,D1AEA2B9,7,7
4/4/2020,5,1652,IMPS,CREDIT,0427EFC1,4,4
3/29/2020,2,4439,IFT,DEBIT,46967EC3,3,3
1/9/2020,1,1231,IMPS,DEBIT,1A82FACE,1,1
2/25/2020,3,4515,IMPS,CREDIT,8BFD76FD,2,2
1/16/2020,10,3071,IMPS,DEBIT,37555D63,1,1
5/27/2020,6,296,IMPS,CREDIT,D4CCE2D6,5,5
4/17/2020,9,2688,IMPS,DEBIT,B4D6465E,4,4
7/9/2020,5,206,IMPS,DEBIT,FF65BFAE,7,7
7/2/2020,6,2480,NEFT,CREDIT,24C95122,7,7
6/17/2020,8,9134,IMPS,CREDIT,B7CC8B6A,6,6
1/16/2020,8,9525,IMPS,DEBIT,64B08A24,1,1
3/22/2020,5,4112,IMPS,DEBIT,69EDCDD9,3,3
5/16/2020,5,1836,IMPS,CREDIT,1AADF8A4,5,5
2/29/2020,6,7571,IMPS,CREDIT,D6F58B52,2,2
3/20/2020,8,7171,IFT,DEBIT,6A628DC3,3,3
7/12/2020,7,2748,IFT,CREDIT,DF9427C1,7,7
1/22/2020,5,2558,IMPS,CREDIT,BD929C84,1,1
3/9/2020,7,4313,IFT,DEBIT,F9AF7F6C,3,3
7/3/2020,5,394,IFT,CREDIT,AE36432C,7,7
5/27/2020,6,6647,IMPS,CREDIT,EAA735AC,5,5
2/17/2020,4,6871,IMPS,CREDIT,E91E6182,2,2
1/4/2020,3,5742,IMPS,DEBIT,1C3F824B,1,1
7/14/2020,9,7863,IFT,DEBIT,97BD0D15,7,7
6/15/2020,7,5774,IMPS,DEBIT,19B5FE3B,6,6
1/6/2020,8,5892,IMPS,CREDIT,FF2A97E9,1,1
5/1/2020,6,2616,IMPS,CREDIT,18B8322B,5,5
5/22/2020,5,8189,IFT,CREDIT,686E99F6,5,5
1/2/2020,4,2282,IFT,CREDIT,8F2BF2D7,1,1
6/8/2020,2,7582,IMPS,CREDIT,94A69C5B,6,6
4/24/2020,7,424,IFT,CREDIT,A735C3AA,4,4
5/11/2020,3,6693,IFT,CREDIT,5D1A49E0,5,5
7/7/2020,8,4501,IFT,DEBIT,56E9CD74,7,7
2/29/2020,4,9429,IMPS,CREDIT,35E74946,2,2
6/13/2020,8,5835,IMPS,DEBIT,2CD827AE,6,6
6/16/2020,2,8946,IFT,CREDIT,07ED28F3,6,6
3/8/2020,6,2458,IFT,DEBIT,BE6D7B2A,3,3
6/8/2020,8,7070,IFT,CREDIT,CE43F703,6,6
5/28/2020,3,9566,IMPS,DEBIT,8D2D3F20,5,5
5/8/2020,10,9699,IMPS,CREDIT,0B0E771A,5,5
1/19/2020,2,7643,IMPS,CREDIT,2C5B1962,1,1
3/8/2020,3,7171,IMPS,DEBIT,19230B44,3,3
7/23/2020,7,5458,IFT,DEBIT,35FD1FD8,7,7
1/23/2020,3,5438,IMPS,DEBIT,9A14C083,1,1
2/22/2020,9,496,IMPS,DEBIT,FC7903B9,2,2
6/24/2020,8,6738,IMPS,DEBIT,64D81AF3,6,6
5/8/2020,1,6141,IMPS,DEBIT,E9AA688A,5,5
1/8/2020,1,585,IMPS,DEBIT,EED586C7,1,1
5/18/2020,6,8983,IMPS,DEBIT,B570EDAE,5,5
6/18/2020,1,1615,IMPS,DEBIT,D9F5990E,6,6
4/10/2020,8,5812,IMPS,CREDIT,6098A696,4,4
2/12/2020,7,1350,IFT,DEBIT,2C51782B,2,2
1/20/2020,8,5969,NEFT,CREDIT,85E81220,1,1
3/23/2020,7,7050,IMPS,CREDIT,6BF41A37,3,3
4/17/2020,7,9403,IMPS,CREDIT,B64AC89B,4,4
3/2/2020,6,8126,IFT,CREDIT,00BF393B,3,3
6/18/2020,4,540,IMPS,CREDIT,56C06DDB,6,6
2/19/2020,9,1199,IMPS,CREDIT,9251211E,2,2
4/6/2020,9,578,IMPS,CREDIT,BB2BA4BB,4,4
4/15/2020,2,7273,IMPS,CREDIT,B5F6BC50,4,4
1/25/2020,4,4965,IMPS,CREDIT,E8950C83,1,1
7/4/2020,1,4377,NEFT,CREDIT,EB878225,7,7
3/25/2020,7,9151,IMPS,DEBIT,B0328B8A,3,3
5/17/2020,1,5354,IFT,CREDIT,45BF2B8A,5,5
6/16/2020,4,9431,NEFT,CREDIT,62C36600,6,6
3/13/2020,2,4723,IMPS,CREDIT,F5835334,3,3
3/16/2020,8,4174,IMPS,DEBIT,A5D5EE4F,3,3
4/14/2020,8,5838,IMPS,DEBIT,75C1604A,4,4
2/11/2020,4,7809,IMPS,CREDIT,7293C960,2,2
6/16/2020,1,5942,IMPS,CREDIT,19736A71,6,6
3/30/2020,2,3995,IFT,CREDIT,B3FE1216,3,3
4/12/2020,3,4767,IMPS,CREDIT,F520EB6B,4,4
5/21/2020,9,4389,IMPS,CREDIT,9952DA95,5,5
4/9/2020,3,5893,IFT,CREDIT,631A71BB,4,4
4/24/2020,5,4387,NEFT,CREDIT,84E9D4A7,4,4
7/31/2020,1,3810,IMPS,DEBIT,F3FDAE24,7,7
7/30/2020,9,1724,IMPS,DEBIT,906E1EE4,7,7
2/27/2020,6,8115,IMPS,CREDIT,5E01849B,2,2
3/20/2020,10,1419,IMPS,DEBIT,3937817C,3,3
2/10/2020,10,3356,IMPS,CREDIT,B36002F8,2,2
1/2/2020,7,5496,IMPS,CREDIT,BAE59856,1,1
1/3/2020,8,4106,IMPS,DEBIT,BD2E61F2,1,1
4/27/2020,3,2145,IMPS,CREDIT,7F83B4E6,4,4
6/24/2020,5,4416,IMPS,CREDIT,1A51752D,6,6
2/17/2020,7,4633,IMPS,CREDIT,73A473F4,2,2
1/19/2020,4,4648,IMPS,CREDIT,A43F2C5C,1,1
6/26/2020,3,8154,NEFT,CREDIT,D6505283,6,6
2/26/2020,2,7996,IMPS,CREDIT,73240AE8,2,2
3/14/2020,8,535,IMPS,CREDIT,A892C437,3,3
6/11/2020,6,154,IMPS,CREDIT,A30DBA79,6,6
5/16/2020,4,9743,IMPS,DEBIT,53258869,5,5
4/12/2020,10,2973,IMPS,CREDIT,122A1B98,4,4
5/23/2020,1,2941,IMPS,CREDIT,9A724F34,5,5
2/9/2020,7,4757,IMPS,CREDIT,B73C77F1,2,2
6/27/2020,10,2230,IMPS,CREDIT,F61EE3B2,6,6
3/14/2020,8,7899,IMPS,CREDIT,CD60BA98,3,3
1/26/2020,4,6470,IMPS,CREDIT,C9D86ABC,1,1
4/29/2020,7,7533,IMPS,CREDIT,F14ED4FA,4,4
4/20/2020,9,138,IMPS,CREDIT,855674D4,4,4
6/9/2020,5,2457,IMPS,CREDIT,DACEADEC,6,6
1/28/2020,3,4146,IMPS,CREDIT,11D6E82F,1,1
3/2/2020,8,3851,IMPS,CREDIT,AD2F478D,3,3
1/9/2020,5,9283,IMPS,CREDIT,27E005A0,1,1
1/18/2020,5,898,NEFT,CREDIT,E199F7A5,1,1
3/6/2020,1,3213,NEFT,CREDIT,B126118F,3,3
5/29/2020,7,3575,IMPS,CREDIT,A844DC6A,5,5
4/28/2020,10,427,IMPS,CREDIT,7C465C1B,4,4
2/19/2020,9,8517,IMPS,CREDIT,C815EE5A,2,2
3/6/2020,1,1981,IMPS,CREDIT,8AE1B63D,3,3
1/20/2020,6,715,IMPS,CREDIT,A17A5633,1,1
6/14/2020,7,2195,IMPS,CREDIT,B2BC8F52,6,6
2/7/2020,6,4614,IMPS,CREDIT,0F4BE5B3,2,2
1/18/2020,3,3930,IMPS,CREDIT,382B4657,1,1
7/19/2020,2,4552,IMPS,CREDIT,99D8DEFD,7,7
6/24/2020,7,333,IMPS,CREDIT,47756C78,6,6
2/6/2020,8,5514,IMPS,CREDIT,5AC0662B,2,2
3/24/2020,7,761,IMPS,CREDIT,9C4300E2,3,3
1/14/2020,2,8867,IMPS,CREDIT,3E98485C,1,1
4/22/2020,1,9028,IMPS,CREDIT,55D2EA88,4,4
7/22/2020,8,5812,IMPS,CREDIT,1976F69F,7,7
2/1/2020,2,3900,IMPS,CREDIT,8CEA2EFA,2,2
1/20/2020,2,5810,IMPS,CREDIT,7FC6DC6A,1,1
6/3/2020,10,2468,IMPS,CREDIT,215FB02A,6,6
2/20/2020,7,6764,IMPS,CREDIT,23767430,2,2
7/10/2020,2,608,IMPS,DEBIT,C92070BC,7,7
7/22/2020,4,2442,IMPS,CREDIT,D8EABD44,7,7
5/26/2020,5,4768,IMPS,CREDIT,5DC4A600,5,5
2/26/2020,6,1781,IMPS,CREDIT,854FFA90,2,2
5/17/2020,3,7834,IMPS,CREDIT,E88E1974,5,5
4/28/2020,3,5721,NEFT,CREDIT,5B3ED737,4,4
1/20/2020,9,8981,IMPS,CREDIT,F32C9D9B,1,1
1/9/2020,7,7304,IMPS,DEBIT,A16A5D47,1,1
7/6/2020,2,6071,IMPS,CREDIT,262D9D45,7,7
3/31/2020,4,6700,IMPS,CREDIT,1B6D5EB6,3,3
4/26/2020,7,6486,IMPS,CREDIT,78C8046F,4,4
5/17/2020,7,2865,NEFT,CREDIT,45143033,5,5
5/30/2020,7,1400,NEFT,CREDIT,E9060C06,5,5
2/25/2020,3,7992,IMPS,DEBIT,3EE9E38B,2,2
7/28/2020,7,8962,IMPS,CREDIT,6362A878,7,7
4/18/2020,1,6591,IMPS,DEBIT,4D9E5DFB,4,4
5/30/2020,6,4354,IMPS,DEBIT,B6089F68,5,5
4/20/2020,5,1233,IMPS,CREDIT,874CEFBE,4,4
1/4/2020,9,1896,IMPS,CREDIT,F23D8CD9,1,1
7/31/2020,9,6435,IMPS,CREDIT,00015390,7,7
1/24/2020,1,2534,IMPS,CREDIT,C6635594,1,1
6/22/2020,5,8237,IMPS,CREDIT,E4533860,6,6
5/14/2020,10,3792,IMPS,CREDIT,389ECF1A,5,5
4/10/2020,4,3735,IMPS,CREDIT,43CEB744,4,4
7/22/2020,7,451,IMPS,DEBIT,D5DA9FCB,7,7
6/11/2020,4,9337,IMPS,DEBIT,47625EBE,6,6
4/6/2020,1,7139,IMPS,DEBIT,3EC99AB3,4,4
2/19/2020,4,4489,IFT,CREDIT,8871B097,2,2
5/2/2020,1,3819,IMPS,CREDIT,DCFC1CCB,5,5
7/18/2020,5,2920,IMPS,CREDIT,ADB53EF6,7,7
2/5/2020,3,1157,IMPS,CREDIT,19502D81,2,2
1/7/2020,2,8911,IMPS,CREDIT,39FFC1B6,1,1
1/31/2020,9,907,IMPS,CREDIT,533C676F,1,1
2/18/2020,8,6957,IMPS,CREDIT,1891D33A,2,2
4/30/2020,6,7563,IMPS,CREDIT,01F1ED46,4,4
5/7/2020,1,512,IMPS,CREDIT,511C2FF3,5,5
5/24/2020,3,5852,IMPS,CREDIT,4551F0C7,5,5
3/26/2020,2,1825,IMPS,CREDIT,F52AA230,3,3
2/7/2020,5,9950,IMPS,CREDIT,F1778B22,2,2
5/8/2020,3,8192,IMPS,CREDIT,B7AFFB55,5,5
3/5/2020,4,8782,IMPS,CREDIT,045EEF6D,3,3
6/12/2020,5,9839,IMPS,CREDIT,480DBFDF,6,6
3/15/2020,3,3041,IMPS,CREDIT,F63F38A5,3,3
5/25/2020,5,3739,IMPS,CREDIT,F27868E0,5,5
3/29/2020,4,7370,IMPS,CREDIT,72BC58F6,3,3
1/16/2020,10,7891,IFT,DEBIT,CA435F72,1,1
2/1/2020,1,1441,IMPS,CREDIT,876AEBD5,2,2
5/28/2020,5,9613,IMPS,CREDIT,BDAE18EF,5,5
5/23/2020,9,5683,IMPS,CREDIT,FB77F100,5,5
3/1/2020,7,6941,IMPS,CREDIT,087DF195,3,3
4/9/2020,9,5672,IMPS,CREDIT,60E2B459,4,4
3/6/2020,10,1189,IMPS,CREDIT,1146B17B,3,3
7/7/2020,6,8454,IMPS,DEBIT,11D76487,7,7
6/20/2020,5,9943,NEFT,CREDIT,7EFDD6C2,6,6
3/15/2020,6,2601,IMPS,DEBIT,089D1F97,3,3
6/18/2020,7,3753,IMPS,CREDIT,4F931521,6,6
7/28/2020,2,8195,IMPS,CREDIT,AE727699,7,7
6/8/2020,10,4674,IMPS,CREDIT,9F0A9F2D,6,6
4/20/2020,8,8438,IMPS,CREDIT,F9DFAD1E,4,4
6/18/2020,4,9283,IMPS,DEBIT,373C2D23,6,6
5/15/2020,1,6468,IMPS,CREDIT,9FB63BD3,5,5
2/15/2020,9,6599,IMPS,DEBIT,A523DA57,2,2
6/18/2020,8,4780,IMPS,DEBIT,9769534A,6,6
7/9/2020,7,1296,NEFT,CREDIT,8FE040C2,7,7
1/29/2020,6,1308,IMPS,DEBIT,ABE36980,1,1
3/10/2020,2,3494,IMPS,DEBIT,294B795A,3,3
2/9/2020,3,5327,IMPS,DEBIT,71B9138B,2,2
3/1/2020,10,2451,IFT,CREDIT,6ED2DE80,3,3
5/17/2020,7,6396,NEFT,DEBIT,72D9AEDF,5,5
5/16/2020,10,2928,IMPS,CREDIT,5D0BBE09,5,5
2/17/2020,3,7089,IMPS,DEBIT,22E29F7D,2,2
5/17/2020,4,5595,NEFT,CREDIT,5FC153EA,5,5
2/11/2020,8,9437,IMPS,CREDIT,B642245D,2,2
6/21/2020,9,8054,IFT,CREDIT,FD1ABBFB,6,6
1/26/2020,7,7243,UPI,CREDIT,FDA30C0C,1,1
2/3/2020,1,3696,UPI,CREDIT,B33DB667,2,2
7/21/2020,10,463,UPI,CREDIT,2EEAC5C7,7,7
6/28/2020,2,3085,UPI,CREDIT,16BD68A1,6,6
3/9/2020,5,1459,UPI,CREDIT,11A79892,3,3
1/17/2020,8,8467,UPI,DEBIT,B3727B8D,1,1
1/15/2020,6,3684,UPI,CREDIT,5E650157,1,1
2/20/2020,8,6289,UPI,DEBIT,E34C3C68,2,2
1/15/2020,5,547,IFT,CREDIT,9338803C,1,1
5/25/2020,5,861,IMPS,CREDIT,8580A29A,5,5
3/29/2020,6,3082,IMPS,DEBIT,DC395199,3,3
2/5/2020,10,4868,IMPS,DEBIT,267B62A7,2,2
5/4/2020,4,5842,IMPS,DEBIT,88B9E01D,5,5
3/11/2020,8,900,IMPS,DEBIT,0C4A6BA9,3,3
2/24/2020,3,9872,IMPS,DEBIT,7641EB77,2,2
3/27/2020,7,3801,NEFT,CREDIT,AE487A40,3,3
5/24/2020,10,5431,IMPS,CREDIT,BCB4AC51,5,5
4/12/2020,6,8231,NEFT,CREDIT,37ACA0B1,4,4
2/15/2020,1,1948,IFT,CREDIT,1BFE7A8A,2,2
2/23/2020,8,4554,IFT,CREDIT,CDAFE73C,2,2
4/28/2020,10,6987,IFT,CREDIT,5759B387,4,4
7/26/2020,4,2721,IMPS,DEBIT,C9686E27,7,7
4/18/2020,4,2172,IMPS,DEBIT,F4F2ED67,4,4
5/6/2020,5,4361,IFT,CREDIT,ED8BB07E,5,5
7/8/2020,3,7680,IFT,DEBIT,2EB0B319,7,7
3/29/2020,8,1558,IFT,CREDIT,BF3FCB43,3,3
7/9/2020,3,5371,IFT,DEBIT,32635232,7,7
5/5/2020,9,3116,IFT,CREDIT,993DF353,5,5
3/13/2020,3,3418,IFT,CREDIT,D0E57C62,3,3
6/6/2020,10,8869,IMPS,CREDIT,4006734F,6,6
3/15/2020,2,1283,IFT,CREDIT,24FEC29A,3,3
6/18/2020,6,8029,IMPS,CREDIT,BF08E2AF,6,6
7/6/2020,6,5206,IMPS,CREDIT,88652996,7,7
7/18/2020,9,1591,IMPS,CREDIT,1FA96C9B,7,7
2/7/2020,2,2115,IMPS,DEBIT,DF4B618C,2,2
3/24/2020,7,7331,IMPS,CREDIT,363656E7,3,3
5/11/2020,5,5094,IFT,CREDIT,1DBD60D3,5,5
6/21/2020,4,9791,IMPS,CREDIT,CC6F220C,6,6
6/8/2020,3,6551,IMPS,CREDIT,35E5664E,6,6
2/15/2020,10,1891,IFT,CREDIT,FF70EF84,2,2
7/30/2020,7,7252,IMPS,CREDIT,E76FAA06,7,7
1/28/2020,1,9450,IMPS,DEBIT,BDF20BCA,1,1
7/6/2020,10,8905,IMPS,DEBIT,3EE33A94,7,7
5/14/2020,6,2019,IFT,CREDIT,1DF0C364,5,5
5/5/2020,6,7110,IMPS,CREDIT,CC2AD2B1,5,5
7/20/2020,9,8330,IMPS,CREDIT,4C97E700,7,7
4/2/2020,3,7723,IFT,DEBIT,89F0A49C,4,4
6/30/2020,2,9949,IFT,CREDIT,5A5DA09E,6,6
1/27/2020,9,4878,IMPS,CREDIT,381C62AD,1,1
7/3/2020,4,4573,IFT,CREDIT,2E877ED4,7,7
4/26/2020,6,6988,IMPS,CREDIT,2AF306DE,4,4
2/23/2020,6,796,IMPS,CREDIT,BA88DD10,2,2
4/19/2020,9,6792,IMPS,CREDIT,AA4C2091,4,4
1/27/2020,4,7483,IMPS,CREDIT,B55F050E,1,1
5/3/2020,9,7694,IMPS,CREDIT,5948A961,5,5
3/22/2020,1,3893,IMPS,CREDIT,FB60B83E,3,3
3/29/2020,4,3113,IFT,CREDIT,6B33A624,3,3
6/30/2020,2,638,IFT,CREDIT,4E2CFA7A,6,6
5/31/2020,7,7290,IMPS,CREDIT,D5F5189C,5,5
6/24/2020,2,8005,IMPS,CREDIT,E4BF4A2B,6,6
7/1/2020,1,7285,IMPS,DEBIT,320404C2,7,7
4/12/2020,1,5246,IMPS,DEBIT,B36DA62B,4,4
7/14/2020,5,9863,IMPS,DEBIT,834C909F,7,7
6/11/2020,7,3683,IMPS,DEBIT,E0F70420,6,6
3/18/2020,4,9608,NEFT,DEBIT,FA4B7B31,3,3
4/15/2020,2,8820,NEFT,DEBIT,B70F201B,4,4
7/11/2020,6,992,IMPS,DEBIT,98F07A09,7,7
2/18/2020,10,4163,IMPS,DEBIT,DC3EC2D0,2,2
1/27/2020,5,2733,NEFT,DEBIT,0FED36CF,1,1
5/20/2020,5,5577,IMPS,DEBIT,88BDE8C0,5,5
4/12/2020,5,5429,IMPS,DEBIT,A72EF6B1,4,4
2/2/2020,8,6281,IMPS,DEBIT,125F6C33,2,2
4/29/2020,10,5826,IMPS,DEBIT,639D2CA1,4,4
6/28/2020,10,7741,IMPS,DEBIT,E2FC1162,6,6
6/13/2020,2,399,UPI,DEBIT,2D177DDE,6,6
1/17/2020,1,470,UPI,DEBIT,1B45222A,1,1
7/26/2020,8,2007,UPI,DEBIT,8E51F9AC,7,7
7/21/2020,10,7442,UPI,DEBIT,97C4F3DE,7,7
4/22/2020,8,8289,UPI,DEBIT,DCD6889C,4,4
1/26/2020,2,7125,UPI,DEBIT,395601EE,1,1
6/10/2020,10,8473,UPI,DEBIT,865EDA29,6,6
1/12/2020,2,2139,UPI,DEBIT,8BBF7CA7,1,1
7/25/2020,4,1217,UPI,DEBIT,CA2A4F20,7,7
7/31/2020,1,2422,UPI,DEBIT,A6B074D5,7,7
1/25/2020,10,1928,UPI,DEBIT,ED27AC46,1,1
6/15/2020,8,5721,UPI,DEBIT,4D41029C,6,6
3/13/2020,6,9510,UPI,DEBIT,A702937C,3,3
3/5/2020,8,5151,UPI,DEBIT,60B3117F,3,3
7/18/2020,7,4636,UPI,DEBIT,08A106EF,7,7
1/27/2020,5,7245,UPI,DEBIT,1AA2AF40,1,1
5/17/2020,2,6722,UPI,DEBIT,E29D807F,5,5
7/28/2020,8,2339,UPI,CREDIT,BB700AA7,7,7
1/30/2020,4,1586,UPI,CREDIT,F00E5B35,1,1
3/30/2020,4,602,UPI,CREDIT,59AB77FD,3,3
7/21/2020,8,2996,UPI,CREDIT,F7B39427,7,7
7/2/2020,6,3481,UPI,CREDIT,D8EE3105,7,7
5/4/2020,5,1992,UPI,CREDIT,2FB02AF0,5,5
6/29/2020,2,6239,UPI,CREDIT,3810A514,6,6
6/4/2020,9,9305,UPI,CREDIT,76849D8B,6,6
